cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica
2506301,Guarabira,60057,96.4,🟢 Risco Baixo,6,110.347,0.319954,0.36,0,1.0,0.0,0.0867473496234097,0.8218,1.0,1.0,0.995,16.436,30.0,15.0,20.0,9.95,5.0,0.0,0.0,96.38600000000001,96.38600000000001,33.0,1.0,False,False,False,False,False
2504603,Conde,30007,96.0,🟢 Risco Baixo,6,108.015,0.267981,0.03,0,1.0,0.1,0.1267467861389219,0.8995,1.0,1.0,0.9996,17.99,30.0,15.0,18.0,9.996,5.0,0.0,0.0,95.98599999999999,95.98599999999999,33.0,1.0,False,False,False,False,False
2512101,Pombal,33866,94.3,🟢 Risco Baixo,6,103.314,0.139269,,0,1.0,0.0,0.0533496561779312,1.0,0.8482,1.0,0.8814,20.0,25.446,15.0,20.0,8.814,5.0,0.0,0.0,94.25999999999999,94.25999999999999,33.0,1.0,False,False,False,False,True
2516300,Sumé,17852,94.2,🟢 Risco Baixo,6,102.892,0.154268,0.1,0,1.0,0.0,0.0424661163601213,1.0,0.8857,1.0,0.761,20.0,26.571,15.0,20.0,7.61,5.0,0.0,0.0,94.181,94.181,33.0,1.0,False,False,False,False,True
2509396,Maturéia,6717,93.7,🟢 Risco Baixo,6,95.842,0.185105,0.01,0,1.0,0.0,0.0287065194302653,1.0,0.9628,1.0,0.478,20.0,28.884,15.0,20.0,4.78,5.0,0.0,0.0,93.664,93.664,33.0,1.0,False,False,False,False,True
2516706,Teixeira,15129,92.0,🟢 Risco Baixo,6,100.753,0.179791,0.0,0,1.0,0.1,0.0304872290637036,1.0,0.9495,1.0,0.556,20.0,28.485,15.0,18.0,5.56,5.0,0.0,0.0,92.045,92.045,33.0,1.0,False,False,False,False,True
2502706,Borborema,4185,91.6,🟢 Risco Baixo,6,106.8195,0.242791,0.0,0,1.0,0.0,0.0202236346801157,0.9393,1.0,1.0,0.284,18.786,30.0,15.0,20.0,2.84,5.0,0.0,0.0,91.626,91.626,33.0,1.0,False,False,False,False,True
2501104,Areia,23031,91.4,🟢 Risco Baixo,6,99.4185,0.221091,1.14,0,1.0,0.35,0.0491759988921808,1.0,1.0,1.0,0.843,20.0,30.0,15.0,13.0,8.43,5.0,0.0,0.0,91.43,91.43,33.0,1.0,False,False,False,False,True
2507002,Itaporanga,24766,91.2,🟢 Risco Baixo,6,102.191,0.105927,-0.0,0,1.0,0.0,0.047846501322928,1.0,0.7648,1.0,0.8288,20.0,22.944,15.0,20.0,8.288,5.0,0.0,0.0,91.232,91.232,33.0,1.0,False,False,False,False,True
2505600,Diamante,6416,89.5,🟢 Risco Baixo,6,91.0515,0.200725,0.01,3,1.0,0.0,0.0209894255507835,1.0,1.0,0.3,0.2996,20.0,30.0,15.0,20.0,2.996,1.5,0.0,0.0,89.496,89.496,33.0,1.0,False,False,False,False,True
2501534,Baraúna,5010,89.4,🟢 Risco Baixo,6,100.253,0.143724,0.15,0,1.0,0.0,0.0237325221046553,1.0,0.8593,1.0,0.3593,20.0,25.779,15.0,20.0,3.593,5.0,0.0,0.0,89.372,89.372,33.0,1.0,False,False,False,False,True
2510808,Patos,108104,89.4,🟢 Risco Baixo,6,92.191,0.091576,0.06,2,1.0,0.0,0.1134922488773959,1.0,0.7289,0.5,0.9996,20.0,21.867,15.0,20.0,9.996,2.5,0.0,0.0,89.363,89.363,33.0,1.0,False,False,False,False,False
2512507,Queimadas,50698,87.7,🟢 Risco Baixo,6,122.465,0.228472,0.0,0,1.0,0.0,0.0442198229425309,0.5,1.0,1.0,0.7676,10.0,30.0,15.0,20.0,7.676,5.0,0.0,0.0,87.676,87.676,33.0,1.0,False,False,False,False,True
2514552,São José de Princesa,3323,87.6,🟢 Risco Baixo,6,91.3105,0.173078,0.0,1,1.0,0.05,0.0147614544437225,1.0,0.9327,0.75,0.188,20.0,27.981,15.0,19.0,1.88,3.75,0.0,0.0,87.61099999999999,87.61099999999999,33.0,1.0,False,False,False,False,True
2502607,Igaracy,5719,87.5,🟢 Risco Baixo,6,85.4175,0.193721,0.38,0,1.0,0.0,0.0185262358512074,0.7709,0.9843,1.0,0.2513,15.418,29.529,15.0,20.0,2.513,5.0,0.0,0.0,87.46000000000001,87.46000000000001,33.0,1.0,False,False,False,False,True
2511301,Piancó,17088,87.4,🟢 Risco Baixo,6,96.972,0.120401,0.01,0,1.0,0.1,0.029600191717285,1.0,0.801,1.0,0.5389,20.0,24.03,15.0,18.0,5.389,5.0,0.0,0.0,87.419,87.419,33.0,1.0,False,False,False,False,True
2500304,Alagoa Grande,26655,86.2,🟢 Risco Baixo,6,112.098,0.189499,0.0,3,1.0,0.0,0.0288932252412081,0.7634,0.9737,0.3,0.5252,15.268,29.211,15.0,20.0,5.252,1.5,0.0,0.0,86.231,86.231,33.0,1.0,False,False,False,False,True
2509339,Matinhas,4759,86.1,🟢 Risco Baixo,6,101.6795,0.417334,1.5,0,1.0,0.3,0.0163807553480048,1.0,1.0,1.0,0.2136,20.0,30.0,15.0,14.0,2.136,5.0,0.0,0.0,86.136,86.136,33.0,1.0,False,False,False,False,True
2505303,Curral Velho,2316,85.7,🟢 Risco Baixo,6,94.5215,0.454604,0.0,3,1.0,0.1,0.0098152708288949,1.0,1.0,0.3,0.1245,20.0,30.0,15.0,18.0,1.245,1.5,0.0,0.0,85.745,85.745,33.0,1.0,False,False,False,False,True
2513158,Santa Cecília,8113,84.5,🟢 Risco Baixo,6,115.0385,0.181018,0.02,0,1.0,0.0,0.0191584452359157,0.6654,0.9525,1.0,0.2632,13.308,28.575,15.0,20.0,2.632,5.0,0.0,0.0,84.515,84.515,33.0,1.0,False,False,False,False,True
2502508,Boqueirão,18216,84.4,🟢 Risco Baixo,6,98.1845,0.046581,,0,1.0,0.0,0.0323121852103036,1.0,0.6165,1.0,0.5908,20.0,18.495,15.0,20.0,5.908,5.0,0.0,0.0,84.403,84.403,33.0,1.0,False,False,False,False,True
